LFQ intensity 6A_1	LFQ intensity 6A_2	LFQ intensity 6A_3	LFQ intensity 6A_4	LFQ intensity 6A_5	LFQ intensity 6A_6	LFQ intensity 6A_7	LFQ intensity 6A_8	LFQ intensity 6A_9	LFQ intensity 6B_1	LFQ intensity 6B_2	LFQ intensity 6B_3	LFQ intensity 6B_4	LFQ intensity 6B_5	LFQ intensity 6B_6	LFQ intensity 6B_7	LFQ intensity 6B_8	LFQ intensity 6B_9	LFQ intensity 6C_1	LFQ intensity 6C_2	LFQ intensity 6C_3	LFQ intensity 6C_4	LFQ intensity 6C_5	LFQ intensity 6C_6	LFQ intensity 6C_7	LFQ intensity 6C_8	LFQ intensity 6C_9	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names
25.12132	25.16273	25.15434	24.67115	24.81455	24.82206	25.00153	25.07472	25.01729	25.13708	25.01363	25.04373	24.76628	24.78497	24.87521	24.98507	25.07406	25.08306	24.85861	25.00864	25.06587	24.75083	24.81049	24.91155	24.9371	24.81968	25.07116	29	29	29	52.8	52.8	52.8	60.751	0	323.31	744780000	410	P19882	P19882	Heat shock protein 60, mitochondrial	HSP60
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5203	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	4.9	4.9	4.9	50.923	0.0036284	3.6591	1010300	3	P20049	P20049	Prephenate dehydrogenase [NADP(+)]	TYR1
NaN	NaN	NaN	20.39958	20.47487	20.244	20.25454	20.40052	20.01876	NaN	NaN	NaN	20.16779	20.18556	20.11286	20.2815	20.34992	20.12805	20.39697	NaN	NaN	20.05537	20.22741	20.07104	20.20991	20.14009	20.16717	5	5	5	15.7	15.7	15.7	40.313	0	12.402	23341000	42	P20051	P20051	Dihydroorotase	URA4
24.18571	24.1741	24.53148	23.80134	23.57231	23.51376	23.21558	23.54333	23.04753	24.6462	24.48904	24.39728	23.47778	23.55227	23.63721	23.09628	23.19393	22.89308	NaN	24.21037	24.28722	23.54392	23.51581	23.53659	23.04683	22.97803	22.97137	5	5	5	47.4	47.4	47.4	12.158	0	82.671	295700000	85	P20081	P20081	FK506-binding protein 1	FPR1
NaN	NaN	NaN	19.2318	19.7018	19.22849	NaN	NaN	NaN	NaN	NaN	NaN	19.07799	19.18396	19.05274	NaN	NaN	NaN	NaN	NaN	NaN	19.04495	NaN	NaN	NaN	NaN	NaN	3	3	3	12.2	12.2	12.2	48.344	0	51.862	7313500	17	P20107	P20107	Zinc/cadmium resistance protein	ZRC1
NaN	21.79784	22.043	21.4138	21.39859	21.41447	21.46418	21.51841	21.19196	20.63803	21.33249	21.72384	21.57819	21.5596	21.20054	21.52234	21.79745	21.42368	NaN	21.5295	23.01067	21.7965	21.50732	21.3943	21.18828	21.45799	21.19898	10	10	10	19.2	19.2	19.2	59.624	0	30.952	72781000	55	P20424	P20424	Signal recognition particle subunit SRP54	SRP54
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.24189	2	2	2	8.6	8.6	8.6	25.414	0.00080515	4.8781	4561300	7	P20433	P20433	DNA-directed RNA polymerase II subunit RPB4	RPB4
NaN	NaN	NaN	18.16654	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.63658	NaN	NaN	NaN	NaN	2	2	2	8.4	8.4	8.4	25.079	0.00086957	5.7952	1986300	8	P20434	P20434	DNA-directed RNA polymerases I, II, and III subunit RPABC1	RPB5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.6857	1	1	1	8.2	8.2	8.2	16.511	0	15.352	14316000	25	P20436	P20436	DNA-directed RNA polymerases I, II, and III subunit RPABC3	RPB8
19.82039	18.99468	19.68528	19.62713	19.63909	19.51955	NaN	20.00292	19.76846	20.16864	19.25594	19.54219	19.44441	19.6677	NaN	19.58263	19.54992	19.55489	19.62715	19.52057	19.71815	19.7008	NaN	NaN	19.49929	NaN	19.71314	7	7	7	14.1	14.1	14.1	58.826	0	30.142	17433000	39	P20447	P20447	ATP-dependent RNA helicase DBP3	DBP3
NaN	NaN	NaN	NaN	NaN	17.83399	NaN	NaN	NaN	NaN	NaN	NaN	17.57541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.27703	NaN	17.90824	NaN	NaN	NaN	4	4	4	6.2	6.2	6.2	87.192	0	10.901	3450400	10	P20448	P20448	ATP-dependent RNA helicase HCA4	HCA4
19.99797	20.34808	19.89245	21.23116	21.21839	21.24301	21.43883	21.28275	21.14725	19.33143	19.59011	20.30184	21.20234	21.01332	20.98829	21.45443	21.27344	21.27207	19.04329	20.20908	19.98801	21.22952	21.03403	20.96127	21.37549	21.22911	20.99452	13	13	13	31.7	31.7	31.7	53.873	0	93.586	45118000	154	P20449	P20449	ATP-dependent RNA helicase DBP5	DBP5
NaN	19.22889	NaN	19.39519	19.78032	19.95702	NaN	NaN	NaN	NaN	19.0583	NaN	19.27855	19.76851	19.66265	20.36442	19.86947	NaN	NaN	NaN	19.27612	19.39276	19.45095	19.41667	20.21062	NaN	20.06118	5	5	5	19.1	19.1	19.1	34.717	0	50.094	16532000	43	P20459	P20459	Eukaryotic translation initiation factor 2 subunit alpha	SUI2
NaN	NaN	NaN	18.09357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.07692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.91082	NaN	NaN	NaN	NaN	NaN	2	2	2	5.6	5.6	5.6	47.29	0.00086207	5.7263	3795200	13	P20484	P20484	Protein MAK11	MAK11
21.97029	21.63609	21.80613	21.90866	21.90837	21.82807	22.0346	22.25946	21.94842	21.85182	21.43069	21.75996	21.55899	21.81167	21.78481	22.21359	22.22538	21.85163	22.00199	21.87189	21.71272	21.65233	21.701	21.72696	21.97855	22.0346	21.85441	6	6	6	40	40	40	21.45	0	51.772	91356000	73	P20606	P20606	Small COPII coat GTPase SAR1	SAR1
NaN	NaN	NaN	23.45601	23.40613	23.35488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.45275	NaN	NaN	NaN	4	4	4	4.8	4.8	4.8	113.58	0	8.976	220270000	30	P20676	P20676	Nucleoporin NUP1	NUP1
NaN	19.21502	19.35769	18.90871	19.38264	19.3327	NaN	NaN	NaN	19.42066	19.41555	19.24625	19.25084	19.33184	19.2839	NaN	NaN	NaN	19.19222	19.59021	NaN	19.20362	19.35537	19.20242	NaN	NaN	NaN	8	8	8	9	9	9	114.41	0	17.447	11823000	26	P20967	P20967	2-oxoglutarate dehydrogenase, mitochondrial	KGD1
NaN	20.154	20.40966	20.1187	20.21324	20.00086	19.80065	20.16607	20.32367	NaN	20.30028	20.48601	19.65533	19.71349	19.82096	20.66527	20.45322	19.86362	NaN	20.07927	20.33429	19.73265	19.90963	19.76408	19.98426	20.35853	20.40468	9	9	9	20.4	20.4	20.4	58.402	0	45.808	26902000	50	P21147	P21147	Acyl-CoA desaturase 1	OLE1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.10085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	7.3	7.3	7.3	31.536	0.0015723	4.5894	4719400	6	P21242	P21242	Probable proteasome subunit alpha type-7	PRE10
21.66027	21.42219	21.44425	20.60286	20.7432	20.72492	20.70185	21.10047	20.75817	21.7021	21.3218	21.71049	20.54642	20.93898	20.79479	20.77949	21.17944	21.00189	21.62279	21.54236	21.22517	20.6145	20.84644	20.67219	20.56486	21.55936	20.89586	8	8	8	37.3	37.3	37.3	28.001	0	54.1	52632000	95	P21243	P21243	Proteasome subunit alpha type-1	SCL1
18.7277	19.44004	NaN	19.00848	19.3888	19.25493	19.82568	19.53119	19.90554	NaN	20.00141	NaN	19.34078	19.24372	19.4966	19.77652	20.21478	19.53862	NaN	NaN	NaN	19.12729	19.2984	19.17923	19.68553	20.15993	19.88351	9	9	9	17.7	17.7	17.7	62.339	0	21.535	16431000	45	P21264	P21264	Phosphoribosylaminoimidazole carboxylase	ADE2
20.14718	19.60798	19.66818	20.62845	20.41751	20.29939	20.37698	20.34895	20.38416	NaN	19.54285	19.92655	20.42808	20.23152	20.48954	20.48463	20.18713	20.16239	NaN	20.22423	19.45197	20.3774	20.53564	20.29412	20.40945	20.28161	20.37465	10	10	10	18.8	18.8	18.8	63.803	0	52.396	29836000	76	P21304	P21304	Periodic tryptophan protein 1	PWP1
NaN	NaN	NaN	18.56067	18.55322	18.50715	NaN	19.3535	NaN	NaN	NaN	NaN	18.80398	18.41671	18.37178	18.77134	NaN	NaN	NaN	NaN	NaN	18.83944	18.74087	18.48113	18.87724	NaN	18.91628	3	3	3	56.5	56.5	56.5	6.7425	0	20.154	8087700	28	P21306	P21306	ATP synthase subunit epsilon, mitochondrial	ATP15
NaN	20.26808	20.92868	20.40883	20.72184	20.66536	20.6297	20.83838	20.68475	NaN	21.10834	20.76191	20.59651	20.55065	20.6145	20.38205	20.83584	20.72184	NaN	20.54802	20.75058	20.40655	20.50988	20.55693	20.48168	20.89334	20.62096	10	10	10	12.3	12.3	12.3	99.56	0	38.995	34246000	67	P21524;P21672	P21524	Ribonucleoside-diphosphate reductase large chain 1	RNR1
NaN	NaN	NaN	NaN	18.257	17.91152	NaN	NaN	NaN	NaN	NaN	NaN	18.69279	18.13501	18.37276	NaN	NaN	NaN	NaN	NaN	NaN	18.62278	18.25958	18.10257	NaN	NaN	NaN	6	6	6	12.1	12.1	12.1	91.873	0	10.376	3608600	9	P21538	P21538	DNA-binding protein REB1	REB1
21.78987	21.90786	22.17646	21.66436	21.78947	21.83113	21.97865	22.13339	22.22858	21.64046	21.9959	22.33857	21.64196	21.67582	21.8405	22.15567	22.2965	22.15632	22.01185	21.86019	21.97046	21.72201	21.76887	21.74546	21.88286	22.16785	21.96077	18	18	17	26.8	26.8	25.9	78.736	0	66.822	92138000	132	P21576	P21576	Vacuolar protein sorting-associated protein 1	VPS1
NaN	19.83119	19.01656	18.98337	19.38313	19.35374	19.505	19.8361	19.40655	NaN	19.43565	NaN	19.3212	19.44168	19.42712	19.5467	19.6357	19.46679	NaN	NaN	NaN	19.58288	19.36035	19.38749	19.88621	19.46547	19.631	5	5	5	25.6	25.6	25.6	24.178	0	14.297	14234000	40	P21734	P21734	Ubiquitin-conjugating enzyme E2 1	UBC1
NaN	NaN	NaN	18.79627	19.00993	18.46256	18.33377	18.85578	18.61324	NaN	NaN	NaN	18.67476	18.80007	18.78568	18.85215	18.70907	18.87679	NaN	NaN	NaN	18.78037	18.6554	18.42517	18.71381	18.94498	18.82954	4	4	4	7.5	7.5	7.5	53.013	0	8.9027	8128600	29	P21827	P21827	Guanine nucleotide exchange factor SRM1	SRM1
21.4891	21.0023	21.01502	21.19736	21.5793	21.74628	21.79875	21.31672	21.81186	21.02317	21.40364	20.98127	21.38411	21.47016	21.64046	21.59719	21.72567	21.64974	21.32405	21.03436	20.88062	21.51841	21.59914	21.6853	21.65088	21.2903	21.41297	14	14	11	23.6	23.6	18.2	48.19	0	46.898	75181000	105	P21954	P21954	Isocitrate dehydrogenase [NADP], mitochondrial	IDP1
19.98468	20.04727	20.7319	19.55457	19.85549	19.76137	20.17011	20.15215	19.94564	20.17316	20.32301	20.40935	19.86022	19.96268	19.82321	19.85578	20.07614	19.92991	20.2	20.18144	20.26922	19.47146	19.82401	19.66584	20.10585	20.14445	20.02689	5	5	5	16	16	16	43.135	0	33.15	24510000	68	P21965	P21965	Protein kinase MCK1	MCK1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.87637	NaN	NaN	NaN	2	2	2	6.4	6.4	6.4	40.73	0.0015373	4.3724	548330	2	P22133	P22133	Malate dehydrogenase, cytoplasmic	MDH2
22.59962	22.65279	22.8874	22.12789	22.11219	22.21573	22.36701	22.45719	22.48089	23.03362	23.04479	23.17208	22.2802	22.26158	22.46381	22.40104	22.23996	22.69821	21.62458	22.80701	22.6152	22.24243	22.21336	22.26911	22.25301	22.24931	22.48429	22	22	22	14.8	14.8	14.8	187.23	0	106.74	133640000	218	P22137	P22137	Clathrin heavy chain	CHC1
21.4314	21.24127	21.43227	20.8511	21.35493	21.11305	20.81816	21.15715	21.5643	21.57718	21.52104	21.53012	21.03952	21.13214	21.12717	20.79788	21.23023	21.46438	NaN	20.93287	21.42101	20.98315	21.08544	21.2577	20.98001	21.23515	21.2781	21	21	21	19.5	19.5	19.5	135.74	0	105.12	58183000	112	P22138	P22138	DNA-directed RNA polymerase I subunit RPA135	RPA135
NaN	NaN	NaN	19.38558	NaN	19.3049	NaN	NaN	NaN	NaN	NaN	NaN	19.32694	NaN	19.31157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	12.6	12.6	12.6	22.516	0	8.1706	14504000	14	P22141	P22141	Proteasome subunit beta type-4	PRE1
21.47417	21.00799	20.75825	22.68011	22.83931	22.75001	22.86073	23.26084	23.1925	22.1943	20.92962	22.52695	22.65115	22.93822	22.72242	23.06301	23.27398	22.87461	NaN	20.61144	20.64227	22.79382	22.9801	22.68554	22.71335	22.9836	22.93384	8	8	8	11.6	11.6	11.6	59.582	0	59.836	135130000	121	P22146	P22146	1,3-beta-glucanosyltransferase GAS1	GAS1
21.2885	21.36127	21.38822	20.99976	21.14731	21.08459	21.29474	21.24621	21.27617	21.15066	21.46413	21.63896	21.18138	21.0432	21.17292	21.39488	21.43746	21.11927	20.91823	21.23795	21.11718	20.97021	21.10367	21.00601	21.06533	21.1665	21.00402	18	18	18	12.4	12.4	12.4	175.46	0	54.526	56823000	120	P22147	P22147	5-3 exoribonuclease 1	XRN1
NaN	NaN	NaN	18.53104	NaN	18.22086	NaN	NaN	NaN	NaN	NaN	NaN	18.18059	18.35113	18.26774	NaN	NaN	NaN	NaN	NaN	NaN	18.41522	18.37861	NaN	NaN	NaN	NaN	15	3	2	19.6	5.9	3.9	69.65	0.00089686	6.4168	4795900	8	P22202	P22202	Heat shock protein SSA4	SSA4
23.28673	23.48603	23.83499	23.23822	23.30187	23.40328	23.30689	23.45601	23.58084	23.37451	23.56139	23.51304	23.26284	23.24973	23.49216	23.41132	23.53694	23.59069	23.09034	23.44202	23.4768	23.18557	23.42085	23.36105	23.30034	23.46663	23.49899	10	10	10	48.1	48.1	48.1	26.471	0	84.526	254390000	159	P22203	P22203	V-type proton ATPase subunit E	VMA4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.62225	NaN	NaN	NaN	1	1	1	7.5	7.5	7.5	25.057	0.0089717	3.1057	727930	1	P22214	P22214	Protein transport protein SEC22	SEC22
22.46834	22.53678	22.81609	22.48318	22.19553	22.4738	22.47407	22.7014	22.6466	22.49052	21.48335	22.65585	22.16723	22.20332	22.2201	22.44983	22.77388	22.56284	22.58903	22.72947	22.89722	22.17971	22.23923	22.08434	22.45423	22.81868	22.61515	6	4	4	66	48.5	48.5	11.235	0	116.23	133850000	105	P22217	P22217	Thioredoxin-1	TRX1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.57215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	1.7	1.7	1.7	129.46	0.0036127	3.5799	1051400	4	P22276	P22276	DNA-directed RNA polymerase III subunit RPC2	RET1
19.3499	18.62399	19.11794	18.43282	18.74481	18.47734	18.89015	19.03249	NaN	18.89915	19.18778	19.25969	18.56863	19.03628	18.68678	NaN	NaN	18.82696	19.08861	19.21461	19.01656	18.66567	18.92952	18.91751	18.73112	NaN	18.65938	4	4	4	6.3	6.3	6.3	70.347	0	12.873	9948200	33	P22336	P22336	Replication factor A protein 1	RFA1
21.81656	22.78708	23.08455	22.59279	22.57066	22.58545	22.54512	22.51718	22.56765	22.48886	22.93503	23.0258	22.47558	22.53543	22.34854	22.45679	22.87251	22.55735	22.64423	22.77688	22.75299	22.46872	22.49512	22.49797	22.59848	22.63057	22.34175	24	24	24	23.5	23.5	23.5	114.26	0	94.156	142090000	170	P22515	P22515	Ubiquitin-activating enzyme E1 1	UBA1
NaN	NaN	NaN	NaN	17.06339	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.07002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.18814	NaN	NaN	NaN	NaN	3	3	3	2.2	2.2	2.2	174.84	0.0015588	4.4792	1192800	5	P22579	P22579	Transcriptional regulatory protein SIN3	SIN3
NaN	NaN	NaN	19.01571	18.56306	18.67118	NaN	NaN	NaN	NaN	NaN	NaN	18.58802	18.7516	18.34776	NaN	NaN	NaN	NaN	NaN	NaN	18.27731	NaN	18.45149	NaN	NaN	NaN	2	2	2	19.4	19.4	19.4	19.404	0.00086059	5.6894	6420000	14	P22696	P22696	Peptidyl-prolyl cis-trans isomerase ESS1	ESS1
NaN	19.96409	19.82454	19.26366	19.81863	19.77559	19.63626	19.75106	19.82031	20.03832	20.18568	20.03093	19.93089	19.86432	19.78906	19.7205	20.08031	19.95773	NaN	20.07326	19.90541	19.92322	19.81892	19.85994	19.58197	19.8852	19.83237	8	8	8	19.3	19.3	19.3	46.927	0	21.024	21876000	41	P22768	P22768	Argininosuccinate synthase	ARG1
23.52409	24.57802	24.53908	24.58245	24.59029	24.75593	24.27299	24.71931	24.34658	24.93261	24.25061	24.9358	24.47284	24.59446	24.62623	24.20262	24.43911	24.29292	24.47482	24.40503	24.44954	24.38232	24.56918	24.68859	24.31424	24.45845	24.36833	7	7	5	73.1	73.1	55.8	11.204	0	129.45	528830000	137	P22803	P22803	Thioredoxin-2	TRX2
NaN	NaN	NaN	20.75148	21.2569	21.12041	21.42558	21.46498	21.25511	NaN	NaN	NaN	21.18132	20.98412	21.17121	21.31728	21.2397	21.15103	NaN	NaN	NaN	21.351	20.95667	21.00512	21.76332	21.2181	21.09957	8	8	8	64.2	64.2	64.2	11.693	0	33.418	47251000	60	P22943	P22943	12 kDa heat shock protein	HSP12
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.70752	NaN	NaN	NaN	1	1	1	1.2	1.2	1.2	163.14	0.0090529	3.1989	1188000	1	P23201	P23201	Protein SPA2	SPA2
27.59754	27.69139	27.45881	26.84242	26.74689	26.81678	26.75621	26.46729	26.54349	28.09461	27.86874	27.59292	26.74599	26.90047	26.93483	26.80008	26.49564	26.52482	26.95338	27.6567	27.47329	26.82238	26.80538	26.79092	26.73699	26.26299	26.47641	22	22	5	72.5	72.5	18.8	28.812	0	114.12	3554800000	295	P23248	P23248	40S ribosomal protein S1-B	RPS1B
24.03297	23.96482	24.56075	24.07455	24.08343	24.22795	24.26499	24.3476	24.30257	22.46349	24.13077	24.20866	24.02149	24.07822	24.00385	24.36373	24.27604	24.25501	23.95011	23.62767	23.93939	23.87839	24.02783	24.06801	24.15004	24.23994	24.38357	19	19	19	29.1	29.1	29.1	73.805	0	120.81	435160000	233	P23254	P23254	Transketolase 1	TKL1
NaN	NaN	NaN	18.07358	NaN	17.75858	NaN	NaN	NaN	NaN	NaN	NaN	17.90683	NaN	18.35862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.05928	NaN	NaN	NaN	NaN	3	3	3	10.2	10.2	10.2	61.714	0	14.155	3409100	9	P23291	P23291	Casein kinase I homolog 1	YCK1
NaN	NaN	NaN	17.73509	17.62471	17.89894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.80788	17.86363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.85093	18.03419	NaN	NaN	NaN	2	2	2	4.9	4.9	4.9	62.078	0	15.949	3973100	17	P23292	P23292	Casein kinase I homolog 2	YCK2
NaN	NaN	NaN	25.13927	24.92039	24.93125	25.00372	24.9955	24.84757	NaN	NaN	NaN	24.88236	24.8797	24.98863	24.92248	25.22997	24.74883	NaN	NaN	NaN	24.74899	24.80902	24.70893	25.14845	25.18975	24.86311	6	6	6	33.1	33.1	33.1	17.114	0	53.917	758940000	94	P23301;P19211	P23301;P19211	Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2	HYP2;ANB1
22.64562	22.65918	22.84923	22.79243	22.94251	22.88424	22.67519	22.53326	22.54225	21.89175	22.82918	22.93589	22.65235	22.69623	22.8451	22.5094	22.62988	22.54404	21.53877	22.21146	22.32871	22.60899	22.80138	22.82445	22.57288	22.53709	22.60815	15	15	15	40.4	40.4	40.4	46.057	0	158.6	152830000	175	P23542	P23542	Aspartate aminotransferase, cytoplasmic	AAT2
20.84468	20.94985	21.07143	20.56978	20.73032	20.85453	21.05702	21.14706	21.24853	21.05112	21.31052	20.91546	20.6329	20.88792	21.08822	21.22176	21.18417	21.32509	NaN	21.20866	20.59623	20.71095	20.65543	20.69098	21.08628	21.18858	21.42337	7	7	6	14.2	14.2	12.9	59.84	0	33.97	45711000	69	P23585	P23585	High-affinity glucose transporter HXT2	HXT2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.53972	NaN	NaN	NaN	3	3	3	2.5	2.5	2.5	168.29	0	15.343	6631400	15	P23615	P23615	Transcription elongation factor SPT6	SPT6
20.52984	20.36303	20.65036	20.2049	19.97197	20.28568	20.33014	20.42306	20.56802	20.61693	20.63529	20.68603	20.14208	20.07117	20.06408	20.23538	20.49023	20.95419	20.9655	20.78963	20.81581	19.99286	20.30597	19.9549	20.2976	20.43563	20.28546	10	10	10	34.5	34.5	34.5	28.714	0	50.3	31633000	74	P23638	P23638	Proteasome subunit alpha type-3	PRE9
20.19568	20.44131	20.56244	19.86336	20.2948	20.29659	20.13057	20.43939	20.45553	20.73917	20.86189	20.56858	20.2447	20.20263	20.15549	20.54604	20.55037	20.41504	NaN	20.3829	20.39268	20.11655	20.26144	20.19424	20.39843	20.56393	20.4025	5	5	5	21.2	21.2	21.2	27.162	0	13.676	31068000	53	P23639	P23639	Proteasome subunit alpha type-2	PRE8
NaN	19.55189	NaN	21.36789	20.93603	21.20568	20.99245	21.49038	21.2105	NaN	NaN	NaN	20.7437	20.71833	20.8671	20.72866	21.39739	21.1031	NaN	NaN	NaN	21.02046	20.8795	20.85772	20.57284	21.40369	21.24505	6	6	6	26.7	26.7	26.7	32.812	0	51.123	43184000	75	P23641	P23641	Mitochondrial phosphate carrier protein;Mitochondrial phosphate carrier protein, N-terminally processed	MIR1
18.34772	19.31624	18.53081	19.67769	19.38003	19.15573	20.09417	NaN	NaN	NaN	19.38682	19.11146	19.05139	19.28231	19.0789	NaN	NaN	20.26556	NaN	19.27717	19.31948	19.2325	19.22945	19.15536	NaN	NaN	NaN	3	3	3	10.1	10.1	10.1	42.038	0	37.861	14028000	47	P23644	P23644	Mitochondrial import receptor subunit TOM40	TOM40
NaN	20.15178	NaN	20.09003	19.88178	19.89416	20.11235	NaN	NaN	NaN	20.65648	20.4996	20.12616	19.99893	19.99189	20.35316	NaN	NaN	NaN	20.34332	20.57108	19.97603	20.14221	20.17316	20.16717	20.61342	NaN	4	4	4	17.4	17.4	17.4	26.871	0	28.923	23315000	28	P23724	P23724	Proteasome subunit beta type-6	PRE7
NaN	NaN	NaN	20.8848	21.18695	21.59341	21.98353	22.44645	22.32086	NaN	NaN	NaN	21.26104	21.57006	21.57649	21.95536	21.98468	22.01825	NaN	NaN	NaN	21.29972	22.01611	21.61894	21.83519	22.31335	21.98565	8	3	3	32.9	12.9	12.9	17.547	0	10.798	69664000	33	P24000	P24000	60S ribosomal protein L24-B	RPL24B
NaN	NaN	NaN	19.88551	19.79352	19.06836	19.93891	20.00621	19.37161	NaN	NaN	NaN	19.77116	19.43614	19.65307	19.75989	19.66202	20.07182	NaN	NaN	NaN	19.48524	19.51345	19.55959	19.86278	19.61863	20.21596	7	7	7	6.5	6.5	6.5	139.95	0	13.773	26820000	31	P24276	P24276	Protein SSD1	SSD1
NaN	NaN	NaN	NaN	NaN	26.20247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.09619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.04011	25.97194	NaN	NaN	NaN	4	4	4	4.8	4.8	4.8	107.52	0	10.204	451070000	10	P24279	P24279	DNA replication licensing factor MCM3	MCM3
23.56663	22.46692	24.48738	22.74688	22.77949	22.82931	22.78514	23.4443	22.17603	23.30855	22.82342	23.18177	22.42529	22.57757	22.51843	22.40984	22.93319	22.20249	23.57531	21.83476	23.22475	22.57261	22.52131	22.6005	22.61697	23.27711	21.95947	12	12	12	37.2	37.2	37.2	34.9	0	47.051	148410000	79	P24280;P33324	P24280	SEC14 cytosolic factor	SEC14
21.76648	21.58026	21.39921	21.95024	21.91258	21.93143	21.73612	21.91251	21.86355	21.50572	21.26957	21.67172	21.76975	21.912	21.84785	21.78947	21.90051	21.99079	21.54939	21.44879	21.37326	21.72092	21.81339	21.93919	21.64676	21.9276	22.0445	17	16	16	36.4	34.4	34.4	60.999	0	139.52	83583000	165	P24783	P24783	ATP-dependent RNA helicase DBP2	DBP2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.72207	NaN	NaN	NaN	3	3	3	3.7	3.7	3.7	92.768	0.00085763	5.6263	3063800	6	P25037	P25037	Ubiquitin carboxyl-terminal hydrolase 1	UBP1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.89959	2	2	2	3.5	3.5	3.5	84.573	0.00082237	5.1557	1497300	9	P25039	P25039	Elongation factor G, mitochondrial	MEF1
NaN	NaN	NaN	17.79804	17.35767	17.35827	NaN	NaN	NaN	NaN	NaN	NaN	17.06097	17.16879	17.50261	NaN	NaN	NaN	NaN	NaN	NaN	17.59689	NaN	17.17553	NaN	NaN	NaN	5	5	5	13.7	13.7	13.7	45.993	0	10.953	3040200	21	P25040	P25040	20S rRNA accumulation protein 4	TSR4
NaN	19.93474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.14021	20.21336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.30341	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	12.3	12.3	12.3	28.268	0	8.1547	13695000	13	P25043	P25043	Proteasome subunit beta type-2	PUP1
