protein	X6A_1	X6A_2	X6A_3	X6A_4	X6A_5	X6A_6	X6A_7	X6A_8	X6A_9	X6B_1	X6B_2	X6B_3	X6B_4	X6B_5	X6B_6	X6B_7	X6B_8	X6B_9	X6C_1	X6C_2	X6C_3	X6C_4	X6C_5	X6C_6	X6C_7	X6C_8	X6C_9
P16521;P53978	27.13848	27.54598	27.22334	27.53823	27.4239	27.44916	27.5372	27.48808	27.57593	27.61975	27.40251	27.4919	27.51315	27.30556	27.49465	27.56841	27.40981	27.55025	26.34481	27.19639	27.67054	27.47676	27.49259	27.3731	27.46894	27.47522	27.53096
P16550	21.77844	22.46157	22.15774	21.99759	21.93283	22.05364	22.20821	21.98054	21.4835	22.11095	21.95943	21.91681	21.8867	21.9674	21.75397	22.02364	21.84724	21.99421	NaN	22.01832	22.0421	21.94525	21.71209	21.7602	21.90371	22.03076	21.77688
P16603	20.77242	20.59441	20.69311	20.76652	20.8137	20.94735	20.85156	21.2498	21.10642	20.76628	20.85399	21.00949	20.58738	20.92107	20.79852	21.12319	21.39739	21.23234	20.94785	20.88196	21.3078	20.75548	20.75344	20.84934	21.12956	21.40145	21.19724
P16649	20.53848	20.58811	20.6297	NaN	NaN	NaN	20.04434	20.09584	20.71498	20.23409	20.39498	20.56783	NaN	NaN	NaN	20.12351	20.18204	20.58774	NaN	20.34733	20.30841	NaN	NaN	NaN	20.2012	20.16189	20.61
P16861	25.15027	24.82818	25.15232	24.71607	24.92755	24.85709	24.58887	24.68833	24.84067	25.69988	24.9778	25.50115	24.84005	24.76875	24.79951	24.66003	24.55958	24.58869	25.28655	24.97622	25.25843	24.85467	24.87333	24.77138	24.59098	24.55444	24.50064
P16862	24.83673	25.09059	24.57819	24.68057	24.86533	24.91274	24.7366	24.63517	24.68817	25.07059	24.89911	24.92976	24.92963	24.85534	25.02627	24.88855	24.88264	24.71816	24.8804	24.85928	24.82328	24.78856	24.92985	24.92994	24.78432	24.71246	24.65922
P17076	NaN	21.76486	21.85704	21.95649	22.07369	22.12089	21.52181	21.55079	21.58086	NaN	21.89286	22.11946	21.9828	22.13417	22.12843	21.71988	NaN	21.50359	NaN	21.55169	21.91758	22.04956	22.1475	21.98245	21.85205	21.54863	21.49238
P17106	NaN	NaN	NaN	17.94215	18.48089	18.66567	NaN	NaN	NaN	NaN	NaN	NaN	18.30015	18.40931	18.5994	NaN	NaN	NaN	NaN	NaN	NaN	18.13099	18.57677	18.57038	NaN	NaN	NaN
P17157	19.04067	18.25852	18.84067	17.72447	18.26164	18.85428	19.08561	18.72797	NaN	NaN	NaN	NaN	NaN	18.8805	18.42513	18.55675	NaN	NaN	NaN	NaN	18.78475	18.7189	18.75799	17.77004	18.82898	NaN	NaN
P17255	25.29127	25.3345	25.48225	24.96146	25.18839	25.20747	25.0748	24.95354	25.29263	25.51566	25.28725	25.46967	25.05494	25.24467	25.36115	25.12088	24.84173	25.12376	25.27672	25.17169	25.27455	25.17752	25.23619	25.24793	25.04247	24.88902	25.15108
P17423	22.01611	21.98033	21.9868	21.29294	21.39456	21.58898	21.6034	20.52765	21.26339	21.97939	22.37042	22.21522	21.49809	21.76154	21.73488	21.47887	20.94621	21.51465	22.25664	22.08625	22.05073	21.63648	21.73281	21.77282	21.54962	21.45924	21.54142
P17505	19.6375	19.97309	NaN	20.61072	20.72476	20.60603	20.77233	20.84238	20.93941	19.25137	20.06815	NaN	20.30641	20.59869	20.48748	20.94828	20.98078	20.93654	20.08913	20.27662	NaN	20.28546	20.38574	20.50611	20.6808	20.89186	20.70396
P17536	21.23316	21.77551	21.41823	22.68166	22.80223	23.23894	22.71171	22.96665	23.07169	21.53971	21.84671	21.60883	22.9515	22.71829	23.08845	22.92205	22.83752	22.91887	NaN	21.24191	21.33691	22.72234	22.89416	22.87613	22.71781	22.76925	22.84686
P17555	19.60188	19.88445	20.0912	19.88289	19.46491	19.64709	19.8678	20.26934	20.04354	20.06933	20.27093	19.97827	20.12629	19.84554	19.58672	19.89704	20.13684	19.98579	NaN	19.61804	19.784	19.77079	19.77488	19.63403	20.34386	20.26052	19.99714
P17695	NaN	NaN	NaN	NaN	NaN	NaN	20.224	19.97757	20.13934	NaN	NaN	NaN	NaN	NaN	NaN	20.33658	20.16999	20.43125	NaN	NaN	NaN	NaN	NaN	NaN	20.27355	19.99438	20.34354
P17709	NaN	NaN	NaN	20.05046	19.82594	19.92992	19.51324	19.35346	20.02864	NaN	NaN	NaN	19.57827	19.81642	19.63946	19.82641	19.73046	19.57261	NaN	NaN	19.09957	19.69442	19.64983	19.76106	19.45978	NaN	19.66233
P17883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.71304	NaN
P17891	NaN	NaN	NaN	19.56733	19.85371	19.68488	NaN	NaN	NaN	NaN	NaN	NaN	19.6831	19.60722	19.39914	NaN	NaN	NaN	NaN	NaN	NaN	19.26659	19.30088	19.39691	NaN	NaN	NaN
P17898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.55652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.48707	NaN	NaN	NaN	NaN	NaN
P17967	22.86888	23.1856	24.12652	23.02523	23.1532	23.06669	23.33484	22.94142	22.88194	23.97272	23.55801	23.98311	23.53267	23.17766	23.3377	23.74222	23.12819	22.96404	NaN	23.65535	23.61807	23.59707	23.2048	23.22472	23.60128	22.84892	22.8717
P18239;P18238	NaN	22.54461	23.0314	22.91803	22.79031	22.71051	22.54673	22.92821	22.99096	23.19498	23.34597	22.51258	22.53517	22.61661	22.66169	22.50654	22.67788	22.93744	NaN	22.6782	22.52535	22.60445	22.61872	22.6424	22.65502	22.77104	22.82867
P18562	22.63828	22.68087	23.03656	22.36418	22.25877	22.33047	21.69451	22.11312	22.20562	22.52965	22.83503	22.70229	22.28427	22.19235	22.36137	21.82947	22.03265	22.38593	NaN	22.32685	22.09362	22.20425	22.21422	22.24235	21.85696	21.89156	22.30279
P18759	19.60738	19.11429	19.43206	19.3837	19.65176	19.50632	19.61545	19.78074	19.59425	18.86163	19.46238	19.91873	19.27187	19.39995	19.32696	19.53953	19.84623	19.73779	19.5162	19.44575	19.38511	19.07004	19.31338	19.22379	19.66192	19.76507	19.76205
P18899	NaN	NaN	NaN	NaN	NaN	18.72707	18.99808	19.62426	19.92049	NaN	NaN	NaN	19.03647	18.23379	18.84739	NaN	19.80991	19.77835	NaN	NaN	NaN	NaN	18.88801	19.03577	NaN	19.49796	19.9512
P19073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.53138	NaN	NaN	NaN
P19097	24.44215	24.35703	24.48971	24.61032	24.76471	24.92461	25.11803	25.29674	25.06369	24.28001	24.28905	24.67724	24.7202	24.77289	24.83253	25.13872	25.18397	25.11862	24.40119	24.54457	24.64229	24.69896	24.8362	24.72759	24.97097	25.01653	25.01376
P19262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.55492
P19358	NaN	NaN	NaN	19.15415	19.02977	19.00714	NaN	NaN	NaN	NaN	NaN	NaN	18.869	19.10326	19.00171	NaN	NaN	NaN	NaN	NaN	NaN	18.59525	19.31526	19.05754	NaN	NaN	NaN
P19414	22.74413	22.16656	22.2775	22.17843	22.74111	22.26032	22.42306	22.56414	22.45275	22.12811	22.33252	22.55323	22.33865	22.1404	22.06441	22.45834	22.83032	22.3136	21.38174	22.32147	22.53286	22.11886	21.96049	22.15069	22.18861	22.71837	22.54002
P19454	18.8506	19.3115	NaN	18.68281	18.44859	18.63052	18.71297	18.70877	19.16923	19.08543	19.30899	19.37704	18.62357	18.67848	18.87625	18.42857	NaN	18.99764	NaN	19.32696	19.11979	18.42636	18.61407	18.74914	18.51703	NaN	18.96716
P19524	20.14681	20.13984	20.46732	19.91571	NaN	19.92336	19.62694	20.67133	20.55356	NaN	19.68483	20.34668	20.73082	20.22694	20.10111	20.0596	20.2627	19.88429	20.27401	20.17706	20.66856	20.21015	19.41078	20.05391	19.67028	20.1029	20.01604
P19881	NaN	NaN	NaN	19.2923	19.414	19.39452	19.31467	19.23606	19.55319	NaN	NaN	NaN	19.37352	19.31646	19.17241	19.13403	19.20455	18.92908	NaN	NaN	NaN	19.09754	19.32952	19.21656	19.40476	19.3777	19.4434
P19882	25.12132	25.16273	25.15434	24.67115	24.81455	24.82206	25.00153	25.07472	25.01729	25.13708	25.01363	25.04373	24.76628	24.78497	24.87521	24.98507	25.07406	25.08306	24.85861	25.00864	25.06587	24.75083	24.81049	24.91155	24.9371	24.81968	25.07116
P20049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5203	NaN	NaN	NaN	NaN	NaN	NaN
P20051	NaN	NaN	NaN	20.39958	20.47487	20.244	20.25454	20.40052	20.01876	NaN	NaN	NaN	20.16779	20.18556	20.11286	20.2815	20.34992	20.12805	20.39697	NaN	NaN	20.05537	20.22741	20.07104	20.20991	20.14009	20.16717
P20081	24.18571	24.1741	24.53148	23.80134	23.57231	23.51376	23.21558	23.54333	23.04753	24.6462	24.48904	24.39728	23.47778	23.55227	23.63721	23.09628	23.19393	22.89308	NaN	24.21037	24.28722	23.54392	23.51581	23.53659	23.04683	22.97803	22.97137
P20107	NaN	NaN	NaN	19.2318	19.7018	19.22849	NaN	NaN	NaN	NaN	NaN	NaN	19.07799	19.18396	19.05274	NaN	NaN	NaN	NaN	NaN	NaN	19.04495	NaN	NaN	NaN	NaN	NaN
P20424	NaN	21.79784	22.043	21.4138	21.39859	21.41447	21.46418	21.51841	21.19196	20.63803	21.33249	21.72384	21.57819	21.5596	21.20054	21.52234	21.79745	21.42368	NaN	21.5295	23.01067	21.7965	21.50732	21.3943	21.18828	21.45799	21.19898
P20433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.24189
P20434	NaN	NaN	NaN	18.16654	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.63658	NaN	NaN	NaN	NaN
P20436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.6857
P20447	19.82039	18.99468	19.68528	19.62713	19.63909	19.51955	NaN	20.00292	19.76846	20.16864	19.25594	19.54219	19.44441	19.6677	NaN	19.58263	19.54992	19.55489	19.62715	19.52057	19.71815	19.7008	NaN	NaN	19.49929	NaN	19.71314
P20448	NaN	NaN	NaN	NaN	NaN	17.83399	NaN	NaN	NaN	NaN	NaN	NaN	17.57541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.27703	NaN	17.90824	NaN	NaN	NaN
P20449	19.99797	20.34808	19.89245	21.23116	21.21839	21.24301	21.43883	21.28275	21.14725	19.33143	19.59011	20.30184	21.20234	21.01332	20.98829	21.45443	21.27344	21.27207	19.04329	20.20908	19.98801	21.22952	21.03403	20.96127	21.37549	21.22911	20.99452
P20459	NaN	19.22889	NaN	19.39519	19.78032	19.95702	NaN	NaN	NaN	NaN	19.0583	NaN	19.27855	19.76851	19.66265	20.36442	19.86947	NaN	NaN	NaN	19.27612	19.39276	19.45095	19.41667	20.21062	NaN	20.06118
P20484	NaN	NaN	NaN	18.09357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.07692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.91082	NaN	NaN	NaN	NaN	NaN
P20606	21.97029	21.63609	21.80613	21.90866	21.90837	21.82807	22.0346	22.25946	21.94842	21.85182	21.43069	21.75996	21.55899	21.81167	21.78481	22.21359	22.22538	21.85163	22.00199	21.87189	21.71272	21.65233	21.701	21.72696	21.97855	22.0346	21.85441
P20676	NaN	NaN	NaN	23.45601	23.40613	23.35488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.45275	NaN	NaN	NaN
P20967	NaN	19.21502	19.35769	18.90871	19.38264	19.3327	NaN	NaN	NaN	19.42066	19.41555	19.24625	19.25084	19.33184	19.2839	NaN	NaN	NaN	19.19222	19.59021	NaN	19.20362	19.35537	19.20242	NaN	NaN	NaN
P21147	NaN	20.154	20.40966	20.1187	20.21324	20.00086	19.80065	20.16607	20.32367	NaN	20.30028	20.48601	19.65533	19.71349	19.82096	20.66527	20.45322	19.86362	NaN	20.07927	20.33429	19.73265	19.90963	19.76408	19.98426	20.35853	20.40468
P21242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.10085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P21243	21.66027	21.42219	21.44425	20.60286	20.7432	20.72492	20.70185	21.10047	20.75817	21.7021	21.3218	21.71049	20.54642	20.93898	20.79479	20.77949	21.17944	21.00189	21.62279	21.54236	21.22517	20.6145	20.84644	20.67219	20.56486	21.55936	20.89586
P21264	18.7277	19.44004	NaN	19.00848	19.3888	19.25493	19.82568	19.53119	19.90554	NaN	20.00141	NaN	19.34078	19.24372	19.4966	19.77652	20.21478	19.53862	NaN	NaN	NaN	19.12729	19.2984	19.17923	19.68553	20.15993	19.88351
P21304	20.14718	19.60798	19.66818	20.62845	20.41751	20.29939	20.37698	20.34895	20.38416	NaN	19.54285	19.92655	20.42808	20.23152	20.48954	20.48463	20.18713	20.16239	NaN	20.22423	19.45197	20.3774	20.53564	20.29412	20.40945	20.28161	20.37465
P21306	NaN	NaN	NaN	18.56067	18.55322	18.50715	NaN	19.3535	NaN	NaN	NaN	NaN	18.80398	18.41671	18.37178	18.77134	NaN	NaN	NaN	NaN	NaN	18.83944	18.74087	18.48113	18.87724	NaN	18.91628
P21524;P21672	NaN	20.26808	20.92868	20.40883	20.72184	20.66536	20.6297	20.83838	20.68475	NaN	21.10834	20.76191	20.59651	20.55065	20.6145	20.38205	20.83584	20.72184	NaN	20.54802	20.75058	20.40655	20.50988	20.55693	20.48168	20.89334	20.62096
P21538	NaN	NaN	NaN	NaN	18.257	17.91152	NaN	NaN	NaN	NaN	NaN	NaN	18.69279	18.13501	18.37276	NaN	NaN	NaN	NaN	NaN	NaN	18.62278	18.25958	18.10257	NaN	NaN	NaN
P21576	21.78987	21.90786	22.17646	21.66436	21.78947	21.83113	21.97865	22.13339	22.22858	21.64046	21.9959	22.33857	21.64196	21.67582	21.8405	22.15567	22.2965	22.15632	22.01185	21.86019	21.97046	21.72201	21.76887	21.74546	21.88286	22.16785	21.96077
P21734	NaN	19.83119	19.01656	18.98337	19.38313	19.35374	19.505	19.8361	19.40655	NaN	19.43565	NaN	19.3212	19.44168	19.42712	19.5467	19.6357	19.46679	NaN	NaN	NaN	19.58288	19.36035	19.38749	19.88621	19.46547	19.631
P21827	NaN	NaN	NaN	18.79627	19.00993	18.46256	18.33377	18.85578	18.61324	NaN	NaN	NaN	18.67476	18.80007	18.78568	18.85215	18.70907	18.87679	NaN	NaN	NaN	18.78037	18.6554	18.42517	18.71381	18.94498	18.82954
P21954	21.4891	21.0023	21.01502	21.19736	21.5793	21.74628	21.79875	21.31672	21.81186	21.02317	21.40364	20.98127	21.38411	21.47016	21.64046	21.59719	21.72567	21.64974	21.32405	21.03436	20.88062	21.51841	21.59914	21.6853	21.65088	21.2903	21.41297
P21965	19.98468	20.04727	20.7319	19.55457	19.85549	19.76137	20.17011	20.15215	19.94564	20.17316	20.32301	20.40935	19.86022	19.96268	19.82321	19.85578	20.07614	19.92991	20.2	20.18144	20.26922	19.47146	19.82401	19.66584	20.10585	20.14445	20.02689
P22133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.87637	NaN	NaN	NaN
P22137	22.59962	22.65279	22.8874	22.12789	22.11219	22.21573	22.36701	22.45719	22.48089	23.03362	23.04479	23.17208	22.2802	22.26158	22.46381	22.40104	22.23996	22.69821	21.62458	22.80701	22.6152	22.24243	22.21336	22.26911	22.25301	22.24931	22.48429
P22138	21.4314	21.24127	21.43227	20.8511	21.35493	21.11305	20.81816	21.15715	21.5643	21.57718	21.52104	21.53012	21.03952	21.13214	21.12717	20.79788	21.23023	21.46438	NaN	20.93287	21.42101	20.98315	21.08544	21.2577	20.98001	21.23515	21.2781
P22141	NaN	NaN	NaN	19.38558	NaN	19.3049	NaN	NaN	NaN	NaN	NaN	NaN	19.32694	NaN	19.31157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P22146	21.47417	21.00799	20.75825	22.68011	22.83931	22.75001	22.86073	23.26084	23.1925	22.1943	20.92962	22.52695	22.65115	22.93822	22.72242	23.06301	23.27398	22.87461	NaN	20.61144	20.64227	22.79382	22.9801	22.68554	22.71335	22.9836	22.93384
P22147	21.2885	21.36127	21.38822	20.99976	21.14731	21.08459	21.29474	21.24621	21.27617	21.15066	21.46413	21.63896	21.18138	21.0432	21.17292	21.39488	21.43746	21.11927	20.91823	21.23795	21.11718	20.97021	21.10367	21.00601	21.06533	21.1665	21.00402
P22202	NaN	NaN	NaN	18.53104	NaN	18.22086	NaN	NaN	NaN	NaN	NaN	NaN	18.18059	18.35113	18.26774	NaN	NaN	NaN	NaN	NaN	NaN	18.41522	18.37861	NaN	NaN	NaN	NaN
P22203	23.28673	23.48603	23.83499	23.23822	23.30187	23.40328	23.30689	23.45601	23.58084	23.37451	23.56139	23.51304	23.26284	23.24973	23.49216	23.41132	23.53694	23.59069	23.09034	23.44202	23.4768	23.18557	23.42085	23.36105	23.30034	23.46663	23.49899
P22214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.62225	NaN	NaN	NaN
P22217	22.46834	22.53678	22.81609	22.48318	22.19553	22.4738	22.47407	22.7014	22.6466	22.49052	21.48335	22.65585	22.16723	22.20332	22.2201	22.44983	22.77388	22.56284	22.58903	22.72947	22.89722	22.17971	22.23923	22.08434	22.45423	22.81868	22.61515
P22276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.57215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P22336	19.3499	18.62399	19.11794	18.43282	18.74481	18.47734	18.89015	19.03249	NaN	18.89915	19.18778	19.25969	18.56863	19.03628	18.68678	NaN	NaN	18.82696	19.08861	19.21461	19.01656	18.66567	18.92952	18.91751	18.73112	NaN	18.65938
P22515	21.81656	22.78708	23.08455	22.59279	22.57066	22.58545	22.54512	22.51718	22.56765	22.48886	22.93503	23.0258	22.47558	22.53543	22.34854	22.45679	22.87251	22.55735	22.64423	22.77688	22.75299	22.46872	22.49512	22.49797	22.59848	22.63057	22.34175
P22579	NaN	NaN	NaN	NaN	17.06339	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.07002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.18814	NaN	NaN	NaN	NaN
P22696	NaN	NaN	NaN	19.01571	18.56306	18.67118	NaN	NaN	NaN	NaN	NaN	NaN	18.58802	18.7516	18.34776	NaN	NaN	NaN	NaN	NaN	NaN	18.27731	NaN	18.45149	NaN	NaN	NaN
P22768	NaN	19.96409	19.82454	19.26366	19.81863	19.77559	19.63626	19.75106	19.82031	20.03832	20.18568	20.03093	19.93089	19.86432	19.78906	19.7205	20.08031	19.95773	NaN	20.07326	19.90541	19.92322	19.81892	19.85994	19.58197	19.8852	19.83237
P22803	23.52409	24.57802	24.53908	24.58245	24.59029	24.75593	24.27299	24.71931	24.34658	24.93261	24.25061	24.9358	24.47284	24.59446	24.62623	24.20262	24.43911	24.29292	24.47482	24.40503	24.44954	24.38232	24.56918	24.68859	24.31424	24.45845	24.36833
P22943	NaN	NaN	NaN	20.75148	21.2569	21.12041	21.42558	21.46498	21.25511	NaN	NaN	NaN	21.18132	20.98412	21.17121	21.31728	21.2397	21.15103	NaN	NaN	NaN	21.351	20.95667	21.00512	21.76332	21.2181	21.09957
P23201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.70752	NaN	NaN	NaN
P23248	27.59754	27.69139	27.45881	26.84242	26.74689	26.81678	26.75621	26.46729	26.54349	28.09461	27.86874	27.59292	26.74599	26.90047	26.93483	26.80008	26.49564	26.52482	26.95338	27.6567	27.47329	26.82238	26.80538	26.79092	26.73699	26.26299	26.47641
P23254	24.03297	23.96482	24.56075	24.07455	24.08343	24.22795	24.26499	24.3476	24.30257	22.46349	24.13077	24.20866	24.02149	24.07822	24.00385	24.36373	24.27604	24.25501	23.95011	23.62767	23.93939	23.87839	24.02783	24.06801	24.15004	24.23994	24.38357
P23291	NaN	NaN	NaN	18.07358	NaN	17.75858	NaN	NaN	NaN	NaN	NaN	NaN	17.90683	NaN	18.35862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.05928	NaN	NaN	NaN	NaN
P23292	NaN	NaN	NaN	17.73509	17.62471	17.89894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.80788	17.86363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.85093	18.03419	NaN	NaN	NaN
P23301;P19211	NaN	NaN	NaN	25.13927	24.92039	24.93125	25.00372	24.9955	24.84757	NaN	NaN	NaN	24.88236	24.8797	24.98863	24.92248	25.22997	24.74883	NaN	NaN	NaN	24.74899	24.80902	24.70893	25.14845	25.18975	24.86311
P23542	22.64562	22.65918	22.84923	22.79243	22.94251	22.88424	22.67519	22.53326	22.54225	21.89175	22.82918	22.93589	22.65235	22.69623	22.8451	22.5094	22.62988	22.54404	21.53877	22.21146	22.32871	22.60899	22.80138	22.82445	22.57288	22.53709	22.60815
P23585	20.84468	20.94985	21.07143	20.56978	20.73032	20.85453	21.05702	21.14706	21.24853	21.05112	21.31052	20.91546	20.6329	20.88792	21.08822	21.22176	21.18417	21.32509	NaN	21.20866	20.59623	20.71095	20.65543	20.69098	21.08628	21.18858	21.42337
P23615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.53972	NaN	NaN	NaN
P23638	20.52984	20.36303	20.65036	20.2049	19.97197	20.28568	20.33014	20.42306	20.56802	20.61693	20.63529	20.68603	20.14208	20.07117	20.06408	20.23538	20.49023	20.95419	20.9655	20.78963	20.81581	19.99286	20.30597	19.9549	20.2976	20.43563	20.28546
P23639	20.19568	20.44131	20.56244	19.86336	20.2948	20.29659	20.13057	20.43939	20.45553	20.73917	20.86189	20.56858	20.2447	20.20263	20.15549	20.54604	20.55037	20.41504	NaN	20.3829	20.39268	20.11655	20.26144	20.19424	20.39843	20.56393	20.4025
P23641	NaN	19.55189	NaN	21.36789	20.93603	21.20568	20.99245	21.49038	21.2105	NaN	NaN	NaN	20.7437	20.71833	20.8671	20.72866	21.39739	21.1031	NaN	NaN	NaN	21.02046	20.8795	20.85772	20.57284	21.40369	21.24505
P23644	18.34772	19.31624	18.53081	19.67769	19.38003	19.15573	20.09417	NaN	NaN	NaN	19.38682	19.11146	19.05139	19.28231	19.0789	NaN	NaN	20.26556	NaN	19.27717	19.31948	19.2325	19.22945	19.15536	NaN	NaN	NaN
P23724	NaN	20.15178	NaN	20.09003	19.88178	19.89416	20.11235	NaN	NaN	NaN	20.65648	20.4996	20.12616	19.99893	19.99189	20.35316	NaN	NaN	NaN	20.34332	20.57108	19.97603	20.14221	20.17316	20.16717	20.61342	NaN
P24000	NaN	NaN	NaN	20.8848	21.18695	21.59341	21.98353	22.44645	22.32086	NaN	NaN	NaN	21.26104	21.57006	21.57649	21.95536	21.98468	22.01825	NaN	NaN	NaN	21.29972	22.01611	21.61894	21.83519	22.31335	21.98565
P24276	NaN	NaN	NaN	19.88551	19.79352	19.06836	19.93891	20.00621	19.37161	NaN	NaN	NaN	19.77116	19.43614	19.65307	19.75989	19.66202	20.07182	NaN	NaN	NaN	19.48524	19.51345	19.55959	19.86278	19.61863	20.21596
P24279	NaN	NaN	NaN	NaN	NaN	26.20247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.09619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.04011	25.97194	NaN	NaN	NaN
P24280;P33324	23.56663	22.46692	24.48738	22.74688	22.77949	22.82931	22.78514	23.4443	22.17603	23.30855	22.82342	23.18177	22.42529	22.57757	22.51843	22.40984	22.93319	22.20249	23.57531	21.83476	23.22475	22.57261	22.52131	22.6005	22.61697	23.27711	21.95947
P24783	21.76648	21.58026	21.39921	21.95024	21.91258	21.93143	21.73612	21.91251	21.86355	21.50572	21.26957	21.67172	21.76975	21.912	21.84785	21.78947	21.90051	21.99079	21.54939	21.44879	21.37326	21.72092	21.81339	21.93919	21.64676	21.9276	22.0445
P25037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.72207	NaN	NaN	NaN
P25039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.89959
P25040	NaN	NaN	NaN	17.79804	17.35767	17.35827	NaN	NaN	NaN	NaN	NaN	NaN	17.06097	17.16879	17.50261	NaN	NaN	NaN	NaN	NaN	NaN	17.59689	NaN	17.17553	NaN	NaN	NaN
P25043	NaN	19.93474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.14021	20.21336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.30341	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P25045	NaN	NaN	NaN	NaN	NaN	NaN	18.31597	18.63952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.48152	18.96282	19.11368	NaN	NaN	NaN	NaN	NaN	NaN	18.41605	NaN	19.20617
P25087	21.97551	21.96399	21.69757	22.62433	22.73738	22.69617	22.56267	22.72939	22.51905	21.61944	22.05242	21.88453	22.43746	22.7432	22.63713	22.62313	22.69192	22.60546	21.83453	22.37263	22.20198	22.65196	22.35837	22.51973	22.39537	22.39929	22.39511
P25293	NaN	NaN	NaN	20.85521	20.70877	20.58582	20.51065	21.08089	20.87365	NaN	NaN	NaN	20.34808	20.25822	20.35875	20.53535	20.85308	20.62006	NaN	NaN	NaN	20.23666	20.26499	20.26534	20.31484	21.21395	20.97021
P25294	20.74156	20.28512	21.18828	22.25782	22.34495	22.24725	21.40265	21.6289	21.58316	20.47298	19.36213	NaN	22.23494	21.88293	21.97428	21.7768	21.67478	21.65338	20.89171	20.35359	21.53131	21.92136	22.32378	22.45495	21.49653	21.73736	21.6814
